,lat,long,id,date,category,location,mode,price,details,description,surface,rooms,baths,park
234,6.214306,-75.571815,687-M2105263,2021-09-22,Casa,EL POBLADO,Arriendo,$7.000.000,"['Código inmueble687-M2105263', 'Barrio comúnEL POBLADO', 'AntigüedadMás de 20 años', 'Área construida210 m²', 'Área privada210 m²', 'Valor arriendo$7.000.000', 'Parqueaderos2', ' Área construida 210 m²', '5Habitaciones', '4Baños', '5Estrato']","CasaindependienteparausocomercialcercaalacalledelabuenamesadelPoblado,delparque,iglesiaylosservicioscomplementariosdelsector.Ampliosespacios,pisoenbaldosa,bañosinternos,cocineta,parqueaderosindependientescubiertosycuartoutil.Excelenteubicacion,facilaccesodesdelaAvElPobladoylacalle10,multiplesrutasdetranportepublico.",,,,
235,6.194504,-75.59812,4673-24849,2021-09-22,Casa,Aguacatala,Arriendo,$14.000.000,"['Código inmueble4673-24849', 'Barrio comúnAguacatala', 'AntigüedadEntre 10 y 20 años', 'Área construida500 m²', 'Área privada500 m²', 'Valor arriendo$14.000.000', ' Área construida 500 m²', '1Habitaciones', '6Estrato']","Excelenteinmueble,conespaciosinternosamplios,casaconremodelacionesencocinaybaños,conexcelentezonaverdequelarodea,ubicadoenunsectorexclusivodelaciudad,aunacuadradelaavenidalasvegasysobralaautopistaregional,ubicadoensectorcomercialconexcelentesvecinos,facilaccesovehicularypeatonal,zonamuyseguraytranquila.",,,,
236,6.243497,-75.605225,82-M2016815,2021-09-22,Casa,LAURELES,Arriendo,$6.000.000,"['Código inmueble82-M2016815', 'Barrio comúnLAURELES', 'AntigüedadEntre 10 y 20 años', 'Área construida400 m²', 'Área privada400 m²', 'Valor arriendo$6.000.000', 'Parqueaderos1', ' Área construida 400 m²', '5Habitaciones', '3Baños', '5Estrato']","Hermosacasade2niveles,suexcelenteubicaciónfacilitaelmontajedetodotipodenegocio,suinterioresiluminado,suventilaciónybuenadistribuciónfacilitanelaprovechamientodecadaáreadelinmueble.Sibuscaunabuenaubicaciónyespacio,estaesunaexcelenteopción.",,,,
237,6.25674,24,11166-M2924390,2021-09-22,Casa,Antonio Nariño,Arriendo,$980.000,"['Código inmueble11166-M2924390', 'Barrio comúnAntonio Nariño', 'AntigüedadEntre 0 y 5 años', 'Área construida65 m²', 'Área privada65 m²', 'Valor arriendo$980.000', 'Parqueaderos1', ' Área construida 65 m²', '3Habitaciones', '2Baños', '4Estrato']",disponibleparaarriendosectorantonionarioseencuentradistribuidoen3alcobasconcloset2baossaloncomedorcocinaintegralreddegaspatiopisoenceramicaparqueaderocomunconvigilancialas24horascercaalacanchaAntonioNario,,,,
238,6.2384114,-75.60013,11394-A1803,2021-09-22,Casa,El Nogal,Arriendo,$3.500.000,"['Código inmueble11394-A1803', 'Barrio comúnEl Nogal', 'AntigüedadEntre 10 y 20 años', 'Área construida150 m²', 'Área privada150 m²', 'Valor arriendo$3.500.000', 'Parqueaderos1', ' Área construida 150 m²', '4Habitaciones', '4Baños', '5Estrato']","Casacomercialenarriendoareacientocincuentametros,Salacomedor,cuatroalcobasconcloset,cocinaintegral,reddegas,cuatrobanos,dospatios,garajeelectronico,pisoenceramica,balcon,extractorcinco,primerpiso,sectorcomercial,valorfacilaccesodetrasportepublico,alimentadoresdelmetro",,,,
239,6.24946,-75.55783,11166-M2910065,2021-09-22,Casa,Boston,Arriendo,$1.500.000,"['Código inmueble11166-M2910065', 'Barrio comúnBoston', 'AntigüedadEntre 10 y 20 años', 'Área construida110 m²', 'Área privada110 m²', 'Valor arriendo$1.500.000', ' Área construida 110 m²', '4Habitaciones', '2Baños', '3Estrato']",DisponibleparaarriendosectorBostonSeencuentradistribuidoen4alcobas2closet2baoscocinasemiintegralconreddegasnaturalclosetdelinossalacomedorcuartoutilventanalamplioterrazapatiozonaderopaspisosenbaldosaCuentaconmuybuenosespaciosexcelenteubicacioncercaAlParqueDeBoston,,,,
240,6.2288084,-75.60098,2511-M3049693,2021-09-22,Casa,Belen,Arriendo,$5.000.000,"['Código inmueble2511-M3049693', 'Barrio comúnBelen', 'AntigüedadEntre 10 y 20 años', 'Área construida150 m²', 'Área privada150 m²', 'Valor arriendo$5.000.000', 'Parqueaderos1', ' Área construida 150 m²', '4Habitaciones', '3Baños', '5Estrato']","Casadedosnivelesmásmansardaensectorcomercialenlaavenidaochenta,cuentacongaraje,salón,bañoenprimerpiso,segundoniveldetresespaciosparaoficina,bañoymansarda,buenasvíasdeaccesoyrutasdetransporte.Graciasporsuinterésenunodenuestrosinmuebles,RASKCIELOSTieneparaustedmásofertasinmobiliarias,contáctenosatravésdenuestroPBXqueaparecealiniciodenuestrapublicación,unodenuestrosasesoresleatenderáyacompañaráensubúsqueda.",,,,
241,6.2421904,-75.60435,11166-13914,2021-09-22,Casa,Simon Bolivar,Arriendo,$2.500.000,"['Código inmueble11166-13914', 'Barrio comúnSimon Bolivar', 'AntigüedadEntre 10 y 20 años', 'Área construida190 m²', 'Área privada190 m²', 'Valor arriendo$2.500.000', ' Área construida 190 m²', '3Habitaciones', '3Baños', '4Estrato']","Buenosespacios,ubicadaenelsectordeSimonBolivar.",,,,
242,6.20339,-75.56866,687-M2021904,2021-09-22,Casa,"y Arriendo, EL POBLADO",Venta y Arriendo,$3.500.000.000,"['Código inmueble687-M2021904', 'Barrio comúnEL POBLADO', 'Precio$3.500.000.000', 'AntigüedadEntre 10 y 20 años', 'Área construida531 m²', 'Área privada531 m²', 'Valor arriendo$25.000.000', 'Parqueaderos2', ' Área construida 531 m²', '5Habitaciones', '3Baños', '6Estrato']","CasaindependienteenelsectordelasParra.Sectortranquilo,depocotransitovehicular,accesosoloderesidentes.Pisoenmadera,dosniveles,esquinera,ampliosespaciosampliosyabiertos,doscocinetas,cableadodered,aireacondicionado,zonasocialalairelibrecubiertacontechoenvidrio,vistaazonaverde.parqueaderosindependientes.lotede962mts.circuitocerradodetvyalarma.",,,,
243,6.2650523,-75.598595,2895-M2385863,2021-09-22,Casa,CALASANZ,Arriendo,$3.800.000,"['Código inmueble2895-M2385863', 'Barrio comúnCALASANZ', 'AntigüedadEntre 5 y 10 años', 'Área construida280 m²', 'Área privada280 m²', 'Valor arriendo$3.800.000', ' Área construida 280 m²', '3Habitaciones', '3Baños', '5Estrato']","COD:12226Ampliacasabifamiliarcomercialenarrendamiento,conunáreade280metrosaproximadamenteporconfirmarsobreescrituras,enCalasanzLaAmérica,1°piso,estrato5.Encontramosensuiluminadointeriorespaciosparasaladeesperayrecepción,tresoficinasindependientesconclosetcomoarchivadorcadauna,unbañoprivadoyunbañosocialenchapadosycabinados,calentadordepaso;funcionalcocinasemiintegralconanaquelesinferioresysuperiores,pipetadegas,dospatiosybalcón.Pisoencerámica,pinturaenexcelenteestado.",,,,
244,6.2173433,-75.5677,687-M2253063,2021-09-22,Casa,"y Arriendo, Poblado",Venta y Arriendo,$585.000.000,"['Código inmueble687-M2253063', 'Barrio comúnpoblado', 'Precio$585.000.000', 'AntigüedadEntre 10 y 20 años', 'Área construida150 m²', 'Área privada150 m²', 'Valor arriendo$3.300.000', 'Valor administración$403.113', 'Parqueaderos2', ' Área construida 150 m²', '4Habitaciones', '4Baños', '6Estrato']","CasaenunidadcerradaenelsectordeCastropol,confacilaccesodesdelaAvelPobladoydesdePalmas,cercaalhotelBelfort,CarullaPalmasyrutasdetransportepublico.Pisoenceramica,halldeacceso,tresniveles,salacomedor,4alcobasconbañoenlaprincipal,cocinaintegral,balcon,jardininternoyParqueaderosindendientescubiertos.Parqueinfantil,placapolideportiva,zonasverdes,vigilancia24horas,citofoniaycircuitocerradodetv.",,,,
